"file","lang","id","text"
"audio/he/l1-t.mp3","he","l1-t","תַּמְרוּר עֲצֹר"
"audio/he/l1-s0.mp3","he","l1-s0","תַּמְרוּר עֲצֹר הוּא תַּמְרוּר בְּצוּרַת מְתֻמָּן אָדֹם."
"audio/he/l1-s1.mp3","he","l1-s1","כְּשֶׁמַּגִּיעִים אֵלָיו חַיָּבִים לַעֲצֹר עֲצִירָה מְלֵאָה."
"audio/he/l1-s2.mp3","he","l1-s2","עוֹצְרִים לִפְנֵי קַו הָעֲצִירָה שֶׁעַל הַכְּבִישׁ."
"audio/he/l1-s3.mp3","he","l1-s3","מִסְתַּכְּלִים יָמִינָה וּשְׂמֹאלָה."
"audio/he/l1-s4.mp3","he","l1-s4","מַמְשִׁיכִים בַּנְּסִיעָה רַק כְּשֶׁבָּטוּחַ לְגַמְרֵי."
"audio/he/l1-q.mp3","he","l1-q","הִגַּעְתָּ לְתַמְרוּר עֲצֹר. הַכְּבִישׁ נִרְאֶה רֵיק לְגַמְרֵי. מָה עוֹשִׂים?"
"audio/he/l1-o0.mp3","he","l1-o0","עוֹצְרִים עֲצִירָה מְלֵאָה"
"audio/he/l1-o1.mp3","he","l1-o1","מְאִטִּים וּמַמְשִׁיכִים"
"audio/he/l1-o2.mp3","he","l1-o2","מַמְשִׁיכִים כָּרָגִיל"
"audio/he/l1-r.mp3","he","l1-r","נָכוֹן. בְּתַמְרוּר עֲצֹר תָּמִיד עוֹצְרִים."
"audio/he/l1-w.mp3","he","l1-w","בְּתַמְרוּר עֲצֹר עוֹצְרִים תָּמִיד. גַּם כְּשֶׁהַכְּבִישׁ רֵיק."
"audio/he/l2-t.mp3","he","l2-t","מֶרְחַק עֲצִירָה"
"audio/he/l2-s0.mp3","he","l2-s0","מֶרְחַק הָעֲצִירָה הוּא כָּל הַדֶּרֶךְ שֶׁהָרֶכֶב עוֹבֵר עַד שֶׁהוּא נֶעֱצָר.
"audio/he/l2-s1.mp3","he","l2-s1","יֵשׁ בּוֹ שְׁנֵי חֲלָקִים."
"audio/he/l2-s2.mp3","he","l2-s2","הַחֵלֶק הָרִאשׁוֹן הוּא זְמַן הַתְּגוּבָה שֶׁלְּךָ."
"audio/he/l2-s3.mp3","he","l2-s3","הַחֵלֶק הַשֵּׁנִי הוּא הַדֶּרֶךְ שֶׁהָרֶכֶב נוֹסֵעַ אַחֲרֵי הַלְּחִיצָה עַל הַבֶּלֶם."
"audio/he/l2-s4.mp3","he","l2-s4","כְּכָל שֶׁנּוֹסְעִים מַהֵר יוֹתֵר, מֶרְחַק הָעֲצִירָה גָּדֵל הַרְבֵּה יוֹתֵר."
"audio/he/l2-s5.mp3","he","l2-s5","בִּכְבִישׁ רָטֹב הַמֶּרְחָק גָּדֵל עוֹד יוֹתֵר."
"audio/he/l2-q.mp3","he","l2-q","נָסַעְתָּ מַהֵר יוֹתֵר. מָה קוֹרֶה לְמֶרְחַק הָעֲצִירָה?"
"audio/he/p6-o0.mp3","he","p6-o0","הוּא גָּדֵל"
"audio/he/p6-o2.mp3","he","p6-o2","הוּא לֹא מִשְׁתַּנֶּה"
"audio/he/p6-o1.mp3","he","p6-o1","הוּא קָטֵן"
"audio/he/l2-r.mp3","he","l2-r","נָכוֹן. מְהִירוּת גְּבוֹהָה יוֹתֵר מַאֲרִיכָה אֶת מֶרְחַק הָעֲצִירָה."
"audio/he/l2-w.mp3","he","l2-w","כְּשֶׁנּוֹסְעִים מַהֵר יוֹתֵר, מֶרְחַק הָעֲצִירָה גָּדֵל."
"audio/he/l3-t.mp3","he","l3-t","תֵּן זְכוּת קְדִימָה"
"audio/he/l3-s0.mp3","he","l3-s0","הַתַּמְרוּר הַזֶּה הוּא מְשֻׁלָּשׁ לָבָן עִם מִסְגֶּרֶת אֲדֻמָּה."
"audio/he/l3-s1.mp3","he","l3-s1","הַחֹד שֶׁל הַמְּשֻׁלָּשׁ פּוֹנֶה כְּלַפֵּי מַטָּה."
"audio/he/l3-s2.mp3","he","l3-s2","הוּא אוֹמֵר: תֵּן זְכוּת קְדִימָה לָרְכָבִים בַּכְּבִישׁ שֶׁלְּפָנֶיךָ."
"audio/he/l3-s3.mp3","he","l3-s3","לֹא חַיָּבִים לַעֲצֹר אִם הַדֶּרֶךְ פְּנוּיָה לְגַמְרֵי."
"audio/he/l3-s4.mp3","he","l3-s4","אֲבָל חַיָּבִים לְהָאֵט וְלִהְיוֹת מוּכָנִים לַעֲצֹר."
"audio/he/l3-q.mp3","he","l3-q","מָה הַהֶבְדֵּל בֵּין תֵּן זְכוּת קְדִימָה לְבֵין עֲצֹר?"
"audio/he/l3-o0.mp3","he","l3-o0","בַּעֲצֹר תָּמִיד עוֹצְרִים, בְּתֵן זְכוּת קְדִימָה רַק אִם צָרִיךְ"
"audio/he/l3-o1.mp3","he","l3-o1","אֵין הֶבְדֵּל"
"audio/he/l3-o2.mp3","he","l3-o2","בְּתֵן זְכוּת קְדִימָה תָּמִיד עוֹצְרִים"
"audio/he/l3-r.mp3","he","l3-r","נָכוֹן. עֲצֹר זוֹ עֲצִירָה מְלֵאָה תָּמִיד."
"audio/he/l3-w.mp3","he","l3-w","בְּתַמְרוּר עֲצֹר עוֹצְרִים תָּמִיד. בְּתֵן זְכוּת קְדִימָה עוֹצְרִים רַק אִם מַגִּיעַ רֶכֶב."
"audio/he/p1-q.mp3","he","p1-q","מָה חַיָּבִים לַעֲשׂוֹת כְּשֶׁמַּגִּיעִים לַתַּמְרוּר הַזֶּה?"
"audio/he/p1-o0.mp3","he","p1-o0","לַעֲצֹר עֲצִירָה מְלֵאָה"
"audio/he/p1-o1.mp3","he","p1-o1","לְהָאֵט בִּלְבַד"
"audio/he/p1-o2.mp3","he","p1-o2","לִצְפֹּר וְלַעֲבֹר"
"audio/he/p1-h1.mp3","he","p1-h1","הִסְתַּכֵּל עַל הַמִּלָּה שֶׁכְּתוּבָה עַל הַתַּמְרוּר."
"audio/he/p1-h2.mp3","he","p1-h2","הַתַּמְרוּר אוֹמֵר עֲצֹר. עֲצֹר זוֹ עֲצִירָה מְלֵאָה, לֹא הַאֲטָה."
"audio/he/p1-p.mp3","he","p1-p","מְצֻיָּן. עֲצִירָה מְלֵאָה, תָּמִיד."
"audio/he/p2-q.mp3","he","p2-q","מָה הַצּוּרָה שֶׁל תַּמְרוּר עֲצֹר?"
"audio/he/p2-o0.mp3","he","p2-o0","מְתֻמָּן"
"audio/he/p2-o1.mp3","he","p2-o1","מְשֻׁלָּשׁ"
"audio/he/p2-o2.mp3","he","p2-o2","עִגּוּל"
"audio/he/p2-h1.mp3","he","p2-h1","הִסְתַּכֵּל עַל הַפִּנּוֹת הַחֲתוּכוֹת שֶׁל הַתַּמְרוּר."
"audio/he/p2-h2.mp3","he","p2-h2","סְפֹר אֶת הַצְּלָעוֹת. יֵשׁ שְׁמוֹנֶה. שְׁמוֹנֶה צְלָעוֹת זֶה מְתֻמָּן."
"audio/he/p2-p.mp3","he","p2-p","יָפֶה. מְתֻמָּן אָדֹם זֶה תָּמִיד עֲצֹר."
"audio/he/p3-q.mp3","he","p3-q","לְאָן פּוֹנֶה הַחֹד שֶׁל תַּמְרוּר תֵּן זְכוּת קְדִימָה?"
"audio/he/p3-o0.mp3","he","p3-o0","כְּלַפֵּי מַטָּה"
"audio/he/p3-o1.mp3","he","p3-o1","כְּלַפֵּי מַעְלָה"
"audio/he/p3-o2.mp3","he","p3-o2","הַצִּדָּה"
"audio/he/p3-h1.mp3","he","p3-h1","הִסְתַּכֵּל עַל הַקָּצֶה הַתַּחְתּוֹן שֶׁל הַמְּשֻׁלָּשׁ."
"audio/he/p3-h2.mp3","he","p3-h2","הַמְּשֻׁלָּשׁ הָפוּךְ. הַחֹד שֶׁלּוֹ מַצְבִּיעַ כְּלַפֵּי מַטָּה, לְכִוּוּן הַכְּבִישׁ."
"audio/he/p3-p.mp3","he","p3-p","בְּדִיּוּק. הַחֹד תָּמִיד מַצְבִּיעַ מַטָּה."
"audio/he/p4-q.mp3","he","p4-q","מִתְקָרֵב רֶכֶב בַּכְּבִישׁ שֶׁלְּפָנֶיךָ. מָה עוֹשִׂים בַּתַּמְרוּר הַזֶּה?"
"audio/he/p4-o0.mp3","he","p4-o0","נוֹתְנִים לוֹ לַעֲבֹר"
"audio/he/p4-o1.mp3","he","p4-o1","מַמְשִׁיכִים רִאשׁוֹנִים"
"audio/he/p4-o2.mp3","he","p4-o2","צוֹפְרִים וְעוֹבְרִים"
"audio/he/p4-h1.mp3","he","p4-h1","הַמִּסְגֶּרֶת הָאֲדֻמָּה מְסַמֶּנֶת שֶׁיֵּשׁ כָּאן סַכָּנָה."
"audio/he/p4-h2.mp3","he","p4-h2","הַתַּמְרוּר אוֹמֵר: הָרֶכֶב בַּכְּבִישׁ שֶׁלְּפָנֶיךָ עוֹבֵר רִאשׁוֹן. אַתָּה מַמְתִּין."
"audio/he/p4-p.mp3","he","p4-p","נָכוֹן מְאֹד. נוֹתְנִים לוֹ לַעֲבֹר."
